,Voltage,Raw
556,0.243,743957
557,0.242,74bc69
558,0.24100000000000002,758105
559,0.24,753f7c
560,0.239,758105
561,0.23800000000000002,75c28e
562,0.237,7645a0
563,0.23600000000000002,760417
564,0.235,76872a
565,0.23399999999999999,770a3c
566,0.233,76c8b3
567,0.23199999999999998,770a3c
568,0.231,781061
569,0.23,77ced8
570,0.22899999999999998,781061
571,0.228,789373
572,0.22699999999999998,78d4fd
573,0.226,789373
574,0.225,791686
575,0.22399999999999998,799998
576,0.223,799998
577,0.222,79580f
578,0.221,7a9fbd
579,0.22,7a5e34
580,0.21899999999999997,7a5e34
581,0.218,7ae146
582,0.217,7ba5e2
583,0.21600000000000003,7ae146
584,0.215,7ba5e2
585,0.214,7be76b
586,0.213,7be76b
587,0.212,7be76b
588,0.21100000000000002,7cac07
589,0.21,7cac07
590,0.209,7cac07
591,0.20800000000000002,7d2f19
592,0.207,7db22c
593,0.20600000000000002,7ced90
594,0.205,7db22c
595,0.204,7e76c7
596,0.203,7e353e
597,0.20199999999999999,7e353e
598,0.201,7ef9da
599,0.2,7eb850
600,0.19899999999999998,7ef9da
601,0.198,7f7cec
602,0.19699999999999998,7fbe75
603,0.196,7f3b63
604,0.195,7fbe75
605,0.19399999999999998,804188
606,0.193,804188
607,0.192,804188
608,0.191,8147ad
609,0.19,810623
610,0.18899999999999997,810623
611,0.188,818936
612,0.187,81cabf
613,0.18600000000000003,818936
614,0.185,81cabf
615,0.184,824dd1
616,0.183,824dd1
617,0.182,820c48
618,0.18100000000000002,8353f6
619,0.18,83126d
620,0.179,83126d
621,0.17800000000000002,83957f
622,0.177,83d709
623,0.17600000000000002,8353f6
624,0.175,83d709
625,0.174,845a1b
626,0.17300000000000001,845a1b
627,0.172,845a1b
628,0.171,851eb7
629,0.17,851eb7
630,0.16899999999999998,84dd2e
631,0.168,856040
632,0.16699999999999998,85e352
633,0.166,856040
634,0.165,85e352
635,0.16399999999999998,866665
636,0.163,85e352
637,0.162,8624dc
638,0.161,872b00
639,0.16,86e977
640,0.159,86e977
641,0.158,872b00
642,0.157,87ae13
643,0.156,872b00
644,0.155,876c8a
645,0.154,883125
646,0.153,883125
647,0.152,87ef9c
648,0.151,88f5c1
649,0.15,88b438
650,0.149,88b438
651,0.14800000000000002,88f5c1
652,0.147,8978d3
653,0.146,88f5c1
654,0.145,89374a
655,0.14400000000000002,89fbe6
656,0.14300000000000002,89ba5d
657,0.142,8978d3
658,0.141,8a7ef8
659,0.14,8a7ef8
660,0.139,8a3d6f
661,0.138,8ac081
662,0.13699999999999998,8b020b
663,0.136,8a7ef8
664,0.135,8b020b
665,0.134,8b851d
666,0.133,8b4394
667,0.132,8b4394
668,0.131,8c0830
669,0.13,8c0830
670,0.129,8bc6a6
671,0.128,8c49b9
672,0.127,8ccccb
673,0.126,8c0830
674,0.125,8c8b42
675,0.124,8d0e54
676,0.12300000000000001,8ccccb
677,0.122,8ccccb
678,0.121,8dd2f0
679,0.12,8d9167
680,0.11900000000000001,8d9167
681,0.11800000000000001,8dd2f0
682,0.11699999999999999,8e5602
683,0.11599999999999999,8dd2f0
684,0.115,8e5602
685,0.114,8ed915
686,0.113,8e5602
687,0.11199999999999999,8e5602
688,0.111,8f5c27
689,0.11,8ed915
690,0.109,8f1a9e
691,0.10800000000000001,8f5c27
692,0.107,8f9db1
693,0.106,8f1a9e
694,0.105,8f9db1
695,0.10400000000000001,9020c3
696,0.10300000000000001,9020c3
697,0.102,9020c3
698,0.10099999999999999,9126e8
699,0.1,7cac07
700,0.10099999999999999,3ae147
701,0.102,0b15b5
702,0.10300000000000001,eb9f56
703,0.10400000000000001,d645a3
704,0.105,c872b1
705,0.106,bef9dc
706,0.107,b74bc8
707,0.10800000000000001,b1a9fd
708,0.109,ae5605
709,0.11,aac084
710,0.111,a7ae16
711,0.11199999999999999,a5e355
712,0.113,a3d70b
713,0.114,a1cac2
714,0.115,a08314
715,0.11599999999999999,9ef9dc
716,0.11699999999999999,9db22e
717,0.11800000000000001,9c6a80
718,0.11900000000000001,9c28f7
719,0.12,9ae149
720,0.121,99999b
721,0.122,991688
722,0.12300000000000001,9851ed
723,0.124,96c8b6
724,0.125,96872c
725,0.126,96041a
726,0.127,94fdf5
727,0.128,943959
728,0.129,943959
729,0.13,9374be
730,0.131,92b022
731,0.132,922d10
732,0.133,922d10
733,0.134,90a3d8
734,0.135,90624f
735,0.136,90624f
736,0.13699999999999998,8f9db4
737,0.138,8f1aa1
738,0.139,8f5c2a
739,0.14,8e978f
740,0.141,8dd2f3
741,0.142,8d916a
742,0.14300000000000002,8d916a
743,0.14400000000000002,8c8b45
744,0.145,8c8b45
745,0.146,8c8b45
746,0.147,8bc6a9
747,0.14800000000000002,8b4397
748,0.149,8c0833
749,0.15,8b020e
750,0.151,8ac084
751,0.152,8ac084
752,0.153,8a7efb
753,0.154,8978d6
754,0.155,8978d6
755,0.156,8978d6
756,0.157,88f5c4
757,0.158,8872b2
758,0.159,89374d
759,0.16,8872b2
760,0.161,883128
761,0.162,883128
762,0.163,883128
763,0.16399999999999998,872b03
764,0.165,876c8d
765,0.166,876c8d
766,0.16699999999999998,86a7f1
767,0.168,866668
768,0.16899999999999998,872b03
769,0.17,86a7f1
770,0.171,8624df
771,0.172,8624df
772,0.17300000000000001,866668
773,0.174,856043
774,0.175,85a1cc
775,0.17600000000000002,85e355
776,0.177,851eba
777,0.17800000000000002,84dd31
778,0.179,85a1cc
779,0.18,84dd31
780,0.18100000000000002,84dd31
781,0.182,84dd31
782,0.183,851eba
783,0.184,845a1e
784,0.185,845a1e
785,0.18600000000000003,849ba7
786,0.187,841895
787,0.188,839582
788,0.18899999999999997,849ba7
789,0.19,841895
790,0.191,83d70c
791,0.192,83d70c
792,0.193,83d70c
793,0.19399999999999998,8353f9
794,0.195,839582
795,0.196,839582
796,0.19699999999999998,839582
797,0.198,831270
798,0.19899999999999998,83d70c
799,0.2,8353f9
800,0.201,831270
801,0.20199999999999999,8353f9
802,0.203,839582
803,0.204,82d0e7
804,0.205,82d0e7
805,0.20600000000000002,831270
806,0.207,82d0e7
807,0.20800000000000002,828f5e
808,0.209,8353f9
809,0.21,831270
810,0.21100000000000002,82d0e7
811,0.212,831270
812,0.213,8353f9
813,0.214,828f5e
814,0.215,82d0e7
815,0.21600000000000003,8353f9
816,0.217,82d0e7
817,0.218,828f5e
818,0.21899999999999997,8353f9
819,0.22,831270
820,0.221,831270
821,0.222,8353f9
822,0.223,839582
823,0.22399999999999998,82d0e7
824,0.225,831270
825,0.226,839582
826,0.22699999999999998,831270
827,0.228,82d0e7
828,0.22899999999999998,83d70c
829,0.23,8353f9
830,0.231,831270
831,0.23199999999999998,839582
832,0.233,839582
833,0.23399999999999999,831270
834,0.235,839582
835,0.23600000000000002,839582
836,0.237,8353f9
837,0.23800000000000002,831270
838,0.239,841895
839,0.24,839582
840,0.24100000000000002,8353f9
841,0.242,839582
842,0.243,83d70c
843,0.244,831270
844,0.245,839582
845,0.24600000000000002,83d70c
846,0.247,839582
847,0.248,8353f9
848,0.249,845a1e
849,0.25,83d70c
850,0.251,83d70c
851,0.252,83d70c
852,0.253,845a1e
853,0.254,839582
854,0.255,841895
855,0.256,845a1e
856,0.257,83d70c
857,0.258,83d70c
858,0.259,84dd31
859,0.26,841895
860,0.261,845a1e
861,0.262,845a1e
862,0.263,849ba7
863,0.264,841895
864,0.265,845a1e
865,0.266,84dd31
866,0.267,849ba7
867,0.268,845a1e
868,0.26899999999999996,851eba
869,0.27,849ba7
870,0.271,849ba7
871,0.272,851eba
872,0.273,856043
873,0.27399999999999997,849ba7
874,0.275,84dd31
875,0.276,851eba
876,0.27699999999999997,851eba
877,0.278,84dd31
